23011	2L	8302899	8302985	-
23014	2L	15089290	15089370	-
23001	2L	17362421	17362522	-
23002	2L	17496155	17496247	-
22997	2L	18991754	18991845	+
22994	2L	21839672	21839758	-
23004	2L	37757089	37757195	+
22990	2L	37757564	37757657	-
23005	2L	37758706	37758788	+
26600	2R	9129499	9129675	+
26601	2R	9129786	9129865	+
28647	2R	13042022	13042111	+
26602	2R	28232667	28232756	-
22998	2R	28234523	28234612	-
23010	2R	28251997	28252086	-
22982	2R	33274498	33274608	+
23009	2R	33703164	33703239	+
26603	2R	37888037	37888153	-
28650	2R	37888789	37888919	-
23003	2R	37890034	37890125	-
23015	2R	39181115	39181203	+
23016	2R	39200608	39200694	+
26604	2R	55572842	55572910	-
23000	2R	55573327	55573415	-
22985	2R	59711765	59711866	-
23019	2R	60297556	60297639	+
26605	3L	2905395	2905525	+
22999	3L	34112621	34112703	-
23007	3L	34537912	34538009	+
23013	3L	38943045	38943130	+
23008	3L	40899904	40900003	-
28653	3R	5819038	5819138	-
23017	3R	5887786	5887878	-
23012	3R	5888298	5888391	-
26606	3R	5888600	5888675	-
23018	3R	5891167	5891256	-
22988	3R	10270160	10270271	-
22983	3R	10270708	10270797	-
22986	3R	10274677	10274768	-
22984	3R	10569154	10569251	-
22995	3R	12395476	12395561	+
22989	3R	15075187	15075263	-
28652	3R	21181082	21181177	-
22991	3R	24898041	24898134	+
22987	3R	29001980	29002062	+
22996	3R	38377342	38377436	+
23006	3R	38386246	38386335	+
22992	3R	42632357	42632438	+
28651	3R	51640560	51640668	-
28651	UNKN	24166005	24166113	-
28649	X	261172	261271	-
28648	X	1228287	1228381	+
22993	X	21450335	21450414	+
22973	Group1.1	134955	135038	-
22972	Group1.1	135899	135987	-
26106	Group1.1	136460	136559	-
26108	Group1.1	136741	136840	-
26117	Group1.1	137128	137227	-
22979	Group1.64	474359	474445	-
22970	Group1.65	143828	143930	-
26130	Group1.75	243969	244068	-
22966	Group10.29	368549	368639	+
22965	Group11.1	42863	42964	-
26107	Group11.14	243977	244076	-
22960	Group11.31	1118453	1118529	+
22978	Group11.33	642193	642277	-
26125	Group11.37	204931	205030	+
26128	Group13.10	984238	984337	+
26119	Group13.15	478994	479093	-
26120	Group13.15	479592	479691	-
26126	Group13.19	152959	153058	-
22963	Group13.5	467376	467467	-
26105	Group14.17	281270	281369	+
22971	Group14.23	30948	31039	+
22957	Group14.24	1302336	1302422	+
26127	Group15.29	779980	780079	-
26118	Group15.33	20314	20413	+
22980	Group15.33	20325	20416	-
26121	Group15.34	28343	28442	+
26103	Group16.10	82750	82849	+
22958	Group16.18	5854	5936	+
22962	Group16.18	199372	199460	+
22981	Group16.9	878073	878157	-
22959	Group2.17	22430	22512	-
26111	Group2.17	23695	23794	-
26129	Group2.2	70225	70324	+
22975	Group2.33	181912	181993	+
22964	Group2.38	687279	687363	+
26122	Group3.18	481757	481856	+
26116	Group3.18	653791	653890	-
26109	Group4.22	624376	624475	+
22974	Group4.22	624609	624698	+
22976	Group5.13	300664	300753	+
22968	Group5.13	322869	322952	+
26115	Group5.13	327528	327627	+
26110	Group5.26	103334	103433	+
26123	Group7.33	330102	330184	-
22967	Group7.35	693906	693989	-
26113	Group8.21	34645	34744	+
26112	Group8.25	59468	59567	-
26104	Group8.27	74561	74660	+
26102	Group8.27	75201	75300	+
22961	Group8.27	75729	75835	+
26124	Group8.29	233058	233157	+
22969	Group8.46	128925	129016	+
22977	Group9.22	487150	487236	+
26114	GroupUn.1070	1102	1201	-
22958	GroupUn.3013	14765	14847	-
26103	GroupUn.7342	644	743	-
25848	NC_003070.5	28500	28706	+
21636	NC_003070.5	78927	79037	-
25864	NC_003070.5	2165516	2165745	+
22394	NC_003070.5	3961348	3961464	-
25562	NC_003070.5	4182130	4182297	-
25840	NC_003070.5	4820352	4820546	-
21655	NC_003070.5	6220639	6220834	+
25847	NC_003070.5	6520932	6521115	+
22387	NC_003070.5	6695411	6695600	-
25895	NC_003070.5	6740491	6740582	+
22403	NC_003070.5	7058184	7058300	+
